Período,"Number Of Orders, %","Number Of Orders","Produtos Vendidos",Desconto,Frete,Imposto,"Shipping Tax",Faturado,Reembolsado,SubTotal,"Total da Venda","Invoiced Cost","Gross Profit","Average Items Ordered","Average Discount","Average Subtotal","Average Shipping","Average Tax","Average Shipping Tax","Average Invoiced"
"14 Apr, 2022",0.3,68,159," -R$507,60","R$873,59","R$0,00","R$0,00","R$33.858,28",,"R$34.964,91","R$33.858,28","R$0,00","R$34.964,91",2.34," -R$7,46","R$514,19","R$12,85","R$0,00","R$0,00","R$497,92"
"15 Apr, 2022",0.3,66,151," -R$468,00","R$925,39","R$0,00","R$0,00","R$34.637,50",,"R$35.228,09","R$34.637,50","R$0,00","R$35.228,09",2.29," -R$7,09","R$533,76","R$14,02","R$0,00","R$0,00","R$524,81"
"16 Apr, 2022",0.2,51,116," -R$284,30","R$678,52","R$0,00","R$0,00","R$22.230,57",,"R$24.502,57","R$22.230,57","R$0,00","R$24.502,57",2.27," -R$5,57","R$480,44","R$13,30","R$0,00","R$0,00","R$435,89"
"17 Apr, 2022",0.2,54,114," -R$89,80","R$830,35","R$0,00","R$0,00","R$22.559,88",,"R$22.226,88","R$22.559,88","R$0,00","R$22.226,88",2.11," -R$1,66","R$411,61","R$15,38","R$0,00","R$0,00","R$417,78"
"18 Apr, 2022",0.3,75,145," -R$198,85","R$998,68","R$0,00","R$0,00","R$27.131,92",,"R$30.391,89","R$27.131,92","R$0,00","R$30.391,89",1.93," -R$2,65","R$405,23","R$13,32","R$0,00","R$0,00","R$361,76"
"19 Apr, 2022",0.3,56,101," -R$199,25","R$885,05","R$0,00","R$0,00","R$20.021,23",,"R$21.026,78","R$20.021,23","R$0,00","R$21.026,78",1.8," -R$3,56","R$375,48","R$15,80","R$0,00","R$0,00","R$357,52"
"20 Apr, 2022",0.3,69,164," -R$217,64","R$968,31","R$0,00","R$0,00","R$32.674,73",,"R$35.037,12","R$32.674,73","R$0,00","R$35.037,12",2.38," -R$3,15","R$507,78","R$14,03","R$0,00","R$0,00","R$473,55"
"21 Apr, 2022",0.3,72,183," -R$237,11","R$1.133,34","R$0,00","R$0,00","R$32.834,68",,"R$34.883,18","R$32.834,68","R$0,00","R$34.883,18",2.54," -R$3,29","R$484,49","R$15,74","R$0,00","R$0,00","R$456,04"
"22 Apr, 2022",0.2,53,104," -R$143,36","R$644,20","R$0,00","R$0,00","R$20.737,90",,"R$23.593,22","R$20.737,90","R$0,00","R$23.593,22",1.96," -R$2,70","R$445,16","R$12,15","R$0,00","R$0,00","R$391,28"
"23 Apr, 2022",0.2,52,118," -R$27,34","R$630,33","R$0,00","R$0,00","R$24.778,95",,"R$24.616,66","R$24.778,95","R$0,00","R$24.616,66",2.27," -R$0,53","R$473,40","R$12,12","R$0,00","R$0,00","R$476,52"
